Ичиго Куросаки, Человек, Живой, Мир людей
Айзен Сосуке, Душа, Живой, Он сам
Киске Урахара, Шинигами, Неизвестно, Общество душ
Рукия Кучики, Душа, Живой, Общество душ
Хирако Шинджи, Душа, Живой, Общество душ
Ямамото Генрюсай, Шинигами, Живой, Готей 13
Унохана Рецу, Шинигами, Живой, Готей 13
Улькиорра Сифер, Арранкар, Мертвый, Уэко Мундо
Урю Исида, Квинси, Живой, Мир людей
Бьякуя Кучики, Шинигами, Живой, Общество душ
Орихиме Иноуэ, Человек, Живой , Мир людей
Ренджи Абарай, Душа, Живой , Готей 13 
Гриммджоу Джагерджак, Арранкар, Живой , Уэко Мундо 
Зараки Кенпачи, Шинигами, Живой , Готей 13 
Ясутаро Садо, Человек, Живой , Мир людей 
Сой Фон, Душа, Живой , Готей 13 
Йоруичи Шихоин, Душа, Живой , Общество душ 
Ичибей Хьесубе, Шинигами, Неизвестно, Общество душ 
Кьёраку Сюнсуй, Душа, Живой , Готей 13
Яхве Бах, Квинси, Неизвестно, Вандерейх
